"completion_date","total_work_orders_completed","total_units_produced","total_units_planned","effective_yield_rate"
"2025-01-01","170","130211","189267","0.68797518849033376130"
"2025-01-02","217","145065","221897","0.65374926204500286169"
"2025-01-03","199","148566","219246","0.67762239675980405572"
"2025-01-04","219","164981","238752","0.69101410668811151320"
"2025-01-05","209","156429","231170","0.67668382575593718908"
"2025-01-06","212","137572","208078","0.66115591268658868309"
"2025-01-07","207","154873","232428","0.66632677646410931557"
"2025-01-08","215","141379","211824","0.66743617342699599668"
"2025-01-09","215","148358","222341","0.66725435254856279319"
"2025-01-10","217","144785","214989","0.67345306038913618836"
"2025-01-11","220","161346","235391","0.68543827079200139343"
"2025-01-12","215","154732","226783","0.68229100064819673432"
"2025-01-13","215","152041","233931","0.64993951207834788891"
"2025-01-14","215","151353","226359","0.66864140590831378474"
"2025-01-15","218","148127","222809","0.66481605321149504733"
"2025-01-16","215","150539","226079","0.66586901039017334649"
"2025-01-17","204","139988","208163","0.67249222964695935397"
"2025-01-18","207","142946","220487","0.64831940205091456639"
"2025-01-19","210","141949","212569","0.66777846252275731645"
"2025-01-20","215","145771","212133","0.68716795595216208699"
"2025-01-21","219","154593","225127","0.68669240028961430659"
"2025-01-22","221","148094","226528","0.65375582709422234779"
"2025-01-23","198","134621","204989","0.65672304367551429589"
"2025-01-24","232","169360","251275","0.67400258680728285743"
"2025-01-25","198","137943","206948","0.66655874905773431007"
"2025-01-26","232","165588","248770","0.66562688427061140813"
"2025-01-27","215","151664","221830","0.68369472118288779696"
"2025-01-28","229","160725","238506","0.67388241805237604085"
"2025-01-29","212","147443","223304","0.66027926055959588722"
"2025-01-30","222","147256","218971","0.67249087778746957360"
"2025-01-31","221","164086","242920","0.67547340688292441956"
"2025-02-01","224","151449","227305","0.66628098809968984404"
"2025-02-02","209","143671","215706","0.66605008669207161600"
"2025-02-03","215","140639","213427","0.65895598963580053133"
"2025-02-04","207","146076","219273","0.66618325101585694545"
"2025-02-05","224","151942","225902","0.67260139352462572266"
"2025-02-06","226","169873","245342","0.69239266004190069373"
"2025-02-07","222","146720","217760","0.67376928728875826598"
"2025-02-08","202","134944","202312","0.66700937166356914073"
"2025-02-09","211","156992","226932","0.69180194948266441048"
"2025-02-10","212","142949","214240","0.66723767737117251680"
"2025-02-11","234","154545","231708","0.66698171836967217360"
"2025-02-12","208","138948","204614","0.67907376816835602647"
"2025-02-13","217","145558","222016","0.65561941481695012972"
"2025-02-14","218","153191","226650","0.67589234502536951246"
"2025-02-15","207","153599","222454","0.69047533422640186286"
"2025-02-16","215","148912","221414","0.67255006458489526408"
"2025-02-17","225","152334","233826","0.65148443714556978266"
"2025-02-18","205","150608","223328","0.67438028370826766012"
"2025-02-19","209","147575","220805","0.66834990149679581531"
"2025-02-20","225","165075","241494","0.68355735546224750925"
"2025-02-21","218","169092","249673","0.67725384803322746152"
"2025-02-22","220","157185","233681","0.67264775484528053201"
"2025-02-23","211","146029","219546","0.66514079054047898846"
"2025-02-24","218","156956","231049","0.67931910547113382875"
"2025-02-25","218","155972","230214","0.67750875272572476044"
"2025-02-26","223","160496","243342","0.65954911194943741730"
"2025-02-27","205","142316","210989","0.67451857679784254155"
"2025-02-28","216","150891","223561","0.67494330406466244112"
"2025-03-01","210","157959","233913","0.67528953072296110092"
"2025-03-02","216","164155","242584","0.67669343402697622267"
"2025-03-03","213","152969","229153","0.66754090062098248768"
"2025-03-04","230","163882","238694","0.68657779416323828835"
"2025-03-05","214","151698","220361","0.68840675074082982016"
"2025-03-06","215","149912","221813","0.67584857515114082583"
"2025-03-07","219","164226","245738","0.66829712946308670210"
"2025-03-08","213","143517","212506","0.67535504879862215655"
"2025-03-09","218","148014","229524","0.64487373869399278507"
"2025-03-10","219","153388","227594","0.67395449792173783140"
