"machine_id","total_quantity_input","total_units_produced","effective_yield_rate"
721246371,"30368446","28542692","0.93987990034129504025"
348334942,"26021692","24446333","0.93945977840334133538"
191558644,"21102245","19815510","0.93902378633173863729"
404576483,"15681304","14726995","0.93914351765643979608"
649554859,"15030480","14232371","0.94690063125063204901"
389410461,"14900149","14103546","0.94653724603693560380"
316693091,"14782509","14000375","0.94709057846675418902"
435075826,"14366023","13621533","0.94817702853461949769"
894321511,"13988701","13275592","0.94902250037369445526"
322106576,"13425285","12743599","0.94922372225245125150"
401045583,"12462284","11834051","0.94958925667237241584"
948246942,"11422020","10845902","0.94956076070607475735"
852795879,"10794639","10137361","0.93911070115452679798"
226248810,"10156119","9643286","0.94950502253862917518"
354335198,"9540966","9074779","0.95113838577770846264"
278296318,"9452286","8992516","0.95135885647133402438"
827370796,"9435505","8974819","0.95117526830837353168"
294247335,"9429734","8968480","0.95108515256103724665"
319002077,"9424965","8963819","0.95107186074431045633"
847297655,"9427756","8962757","0.95067765860720196832"
439135239,"9420160","8958574","0.95100019532576941368"
642440758,"9418083","8958478","0.95119972928673489074"
699032178,"9417016","8954990","0.95093711213828244531"
123488045,"9407667","8947687","0.95110583739836879856"
885163470,"9402109","8942978","0.95116723279851361008"
430753429,"9397324","8941478","0.95149193536372695035"
466396314,"9398239","8937452","0.95097092125450310425"
38674760,"9385900","8928479","0.95126508912304627153"
517912382,"9377298","8918517","0.95107535240961735459"
385183015,"9358335","8899203","0.95093870864849356216"
747709079,"9356035","8898476","0.95109477465614440305"
10256942,"9348954","8887080","0.95059618434318962314"
15280064,"9325836","8869754","0.95109478656926842805"
414938962,"9273717","8815743","0.95061591808333163499"
741489170,"8796112","8348881","0.94915583157649652483"
781217825,"7086323","6725147","0.94903195916979793329"
492307267,"6785926","6372143","0.93902335510289973690"
789632669,"5610548","5397684","0.96206003406440868165"
178464211,"5594082","5307647","0.94879678202786444675"
660960767,"5401997","5195830","0.96183503989358009640"
431084689,"5179163","4980821","0.96170385060288699159"
289610635,"4931196","4740914","0.96141260659685804417"
559071454,"4756678","4539958","0.95443879110589365099"
285456335,"4482217","4307107","0.96093227971782713778"
14304683,"4483417","4278418","0.95427616927000098362"
141074074,"4161705","4000466","0.96125650424525524995"
883336381,"4099100","3891616","0.94938303530043180210"
498102702,"4060409","3874421","0.95419476215327076657"
220309176,"3779885","3549004","0.93891851207113443928"
746060578,"3626682","3486520","0.96135255310501444571"
276455830,"3543448","3377750","0.95323820188697562374"
842060513,"3115500","2994576","0.96118632643235435725"
851564834,"2921417","2786371","0.95377380223364209902"
799815877,"2806267","2660713","0.94813251910812477929"
225485994,"2502037","2403614","0.96066285190826514556"
858938786,"2276808","2173299","0.95453766852540925717"
712268219,"2051601","1926557","0.93905052688120155917"
557633597,"1908564","1834358","0.96111945944699784760"
388115190,"1856386","1761145","0.94869547604862350826"
232715816,"1611257","1536246","0.95344566385126643360"
234484216,"1370060","1316482","0.96089368348831438039"
530818592,"1211109","1150315","0.94980303176675262094"
596050571,"1019227","972361","0.95401809410464989644"
874727402,"1032698","968504","0.93783855493087039967"
417955101,"917962","882305","0.96115634416239452178"
179510570,"685119","649386","0.94784409715684428545"
764912373,"569972","547474","0.96052788558034429761"
141388463,"566105","539269","0.95259536658393760875"
333442024,"438340","412189","0.94034083131815485696"
254837838,"385831","365483","0.94726188408914783934"
88737742,"340604","327308","0.96096346490352432737"
36315524,"307806","294079","0.95540372832238487879"
468666953,"212635","201372","0.94703129776377360265"
888010932,"195471","183494","0.93872748387228796087"
351232592,"176437","169706","0.96185040552718534094"
745438564,"138914","132037","0.95049455058525418604"
535149167,"98540","93049","0.94427643596509031865"
608327372,"71786","67637","0.94220321511158164545"
747066913,"67039","64096","0.95610018049195244559"
260960546,"66698","62992","0.94443611502593780923"
103533322,"34271","32084","0.93618511277756703919"
774048212,"32524","30626","0.94164309433034067150"
488864249,"21155","19945","0.94280311982982746396"
220713169,"14465","13571","0.93819564465952298652"
875833441,"11872","11232","0.94609164420485175202"
811048032,"6278","5908","0.94106403313157056387"
485712369,"4150","3995","0.96265060240963855422"
866193189,"2249","2147","0.95464650955980435749"
563161475,"1866","1695","0.90836012861736334405"
234736546,"1799","1666","0.92607003891050583658"
887560461,"1349","1243","0.92142327650111193477"
881839536,"994","957","0.96277665995975855131"
