"completion_date","total_work_orders_completed","total_units_produced","total_units_planned","effective_yield_rate"
"2025-01-01","145","92721","157705","0.58793950730794838464"
"2025-01-02","167","105336","179092","0.58816697563263574029"
"2025-01-03","166","107915","179025","0.60279290601871247033"
"2025-01-04","157","97292","169115","0.57530083079561245306"
"2025-01-05","179","114880","192232","0.59761121977610387448"
"2025-01-06","166","101844","176689","0.57640260570833498407"
"2025-01-07","163","103268","180354","0.57258502722423677878"
"2025-01-08","170","103085","175101","0.58871736883284504372"
"2025-01-09","174","116843","191368","0.61056707495506040717"
"2025-01-10","179","112419","186720","0.60207262210796915167"
"2025-01-11","186","110467","182669","0.60473862560149779109"
"2025-01-12","160","100226","171419","0.58468431154072769063"
"2025-01-13","171","102281","172817","0.59184570962347454244"
"2025-01-14","166","97590","167920","0.58116960457360647928"
"2025-01-15","167","99057","171402","0.57792207792207792208"
"2025-01-16","185","119841","198429","0.60394901954855389081"
"2025-01-17","172","109683","181897","0.60299510162344623606"
"2025-01-18","162","104521","174801","0.59794280353087224901"
"2025-01-19","148","90115","155851","0.57821252350000962458"
"2025-01-20","162","99017","165545","0.59812739738439699175"
"2025-01-21","168","100061","171073","0.58490235162766772080"
"2025-01-22","196","119607","200400","0.59684131736526946108"
"2025-01-23","157","97317","165359","0.58851952418676939265"
"2025-01-24","177","112675","194516","0.57925826153118509531"
"2025-01-25","185","114093","187259","0.60927912677094291863"
"2025-01-26","175","104920","184824","0.56767519369778816604"
"2025-01-27","178","111402","188454","0.59113629851316501640"
"2025-01-28","163","95751","164039","0.58370875218697992551"
"2025-01-29","194","119307","201256","0.59281213976229280121"
"2025-01-30","178","102148","178377","0.57265230382840837103"
"2025-01-31","166","98564","158701","0.62106729006118423954"
"2025-02-01","196","121898","211044","0.57759519341938174030"
"2025-02-02","168","101899","176762","0.57647571310575802491"
"2025-02-03","164","102155","170283","0.59991308586294580199"
"2025-02-04","160","92571","161828","0.57203326989148972984"
"2025-02-05","165","93887","167556","0.56033206808470004058"
"2025-02-06","154","86771","150587","0.57621839866655156156"
"2025-02-07","175","107297","184409","0.58184253480036223829"
"2025-02-08","159","98241","163899","0.59939963026009920744"
"2025-02-09","183","111738","187626","0.59553579994243868121"
"2025-02-10","173","101162","172111","0.58777184491403803359"
"2025-02-11","164","107788","181137","0.59506340504700861779"
"2025-02-12","175","108427","184420","0.58793514803166684741"
"2025-02-13","179","108671","182159","0.59657222536355601425"
"2025-02-14","162","96520","167223","0.57719332866890320111"
"2025-02-15","168","94108","160518","0.58627692844416202544"
"2025-02-16","169","98962","165620","0.59752445356840961237"
"2025-02-17","148","89310","150068","0.59513020763920356105"
"2025-02-18","174","100992","175575","0.57520717642033319094"
"2025-02-19","177","108464","191881","0.56526701445166535509"
"2025-02-20","162","96199","165091","0.58270287296097303911"
"2025-02-21","149","93164","162609","0.57293261750579611215"
"2025-02-22","169","105397","177745","0.59296745337421587105"
"2025-02-23","184","113868","196410","0.57974644875515503284"
"2025-02-24","170","101480","166714","0.60870712717588204950"
"2025-02-25","164","98796","168704","0.58561741274658573596"
"2025-02-26","152","92765","157396","0.58937330046506899794"
"2025-02-27","145","88106","150187","0.58664198632371643351"
"2025-02-28","180","109417","184030","0.59456066945606694561"
