"machine_id","total_quantity_input","total_units_produced","effective_yield_rate"
721246371,"41478278","38669446","0.93228185605969466717"
348334942,"35271876","32909204","0.93301541432046313613"
191558644,"29372794","27395947","0.93269802661605838382"
404576483,"23737933","22135969","0.93251459594228360153"
389410461,"23519906","21865811","0.92967255056206432118"
649554859,"23187551","21550519","0.92940039247784295978"
316693091,"22372565","20786686","0.92911501206946990656"
435075826,"21882055","20329386","0.92904373012498140600"
894321511,"20716420","19243312","0.92889176797921648625"
322106576,"19462657","18074255","0.92866328579905611038"
852795879,"18792730","17501653","0.93129912471471680804"
401045583,"17867011","16594898","0.92880101769680446271"
948246942,"16112017","14966030","0.92887377166992810397"
414938962,"15333305","14236192","0.92844901996014557853"
354335198,"15331253","14231189","0.92824696063655071115"
123488045,"15313355","14219672","0.92857979195284116381"
827370796,"15295889","14206944","0.92880799540320931984"
319002077,"15293247","14200939","0.92857579557827059224"
385183015,"15293899","14198743","0.92839262244376009022"
439135239,"15278556","14190178","0.92876434134220537595"
38674760,"15279252","14189525","0.92867929660431021100"
642440758,"15277993","14184267","0.92841167030250635669"
699032178,"15277946","14183788","0.92838317402090568981"
294247335,"15253403","14164701","0.92862563193275625118"
747709079,"15238946","14150281","0.92856034794007407074"
15280064,"15234871","14149552","0.92876086709234361092"
517912382,"15243295","14147697","0.92812590716114855745"
847297655,"15210788","14118424","0.92818491717851829899"
466396314,"15185836","14099413","0.92845813691126389090"
10256942,"15173124","14092926","0.92880846422925166894"
430753429,"15161918","14082621","0.92881527257963009693"
885163470,"15155194","14072620","0.92856746010641632169"
278296318,"15134746","14052679","0.92850444929832320939"
226248810,"14335760","13318541","0.92904324570165795186"
492307267,"14141855","13152903","0.93006914580866512915"
741489170,"12570308","11685363","0.92960037256048141382"
781217825,"10789123","10033440","0.92995881129541298213"
220309176,"10103601","9380800","0.92846105066896446128"
178464211,"9309848","8662414","0.93045708157641241833"
789632669,"7626798","7239429","0.94920948476673959373"
883336381,"7592532","7064013","0.93038962496305580273"
660960767,"7376687","7008718","0.95011730875933871127"
431084689,"7050672","6699261","0.95015921886594639490"
289610635,"6603312","6280941","0.95118040764997928312"
712268219,"6697133","6208886","0.92709611709966040692"
285456335,"6157863","5860487","0.95170792205023073751"
799815877,"6117559","5697005","0.93125460661678947436"
141074074,"5607784","5338821","0.95203756064784235627"
559071454,"5810898","5212455","0.89701368015752470616"
14304683,"5380657","4827410","0.89717854157958777153"
746060578,"5034082","4799700","0.95344096500613220047"
388115190,"4774809","4444752","0.93087535019725396346"
498102702,"4838691","4341192","0.89718314312693246996"
842060513,"4389423","4185476","0.95353671769615277452"
874727402,"4292182","3976756","0.92651150393902215703"
276455830,"4185569","3755942","0.89735517440997866718"
225485994,"3737121","3564763","0.95387947031953206760"
530818592,"3649106","3397860","0.93114861557871982891"
851564834,"3469610","3112250","0.89700283317145154643"
557633597,"3205709","3058147","0.95396899718595792694"
234484216,"2651542","2531084","0.95457058571955488542"
179510570,"2682942","2500519","0.93200635720041655764"
858938786,"2691131","2416725","0.89803320611296885956"
333442024,"2562114","2374436","0.92674877074166098776"
417955101,"2007946","1916626","0.95452068930140551589"
232715816,"1983630","1781382","0.89804146942726214062"
254837838,"1902568","1772566","0.93167024779140614159"
764912373,"1487022","1419628","0.95467854544182937441"
888010932,"1460872","1352232","0.92563345727757120405"
596050571,"1378405","1238384","0.89841809917984917350"
468666953,"1286443","1199735","0.93259864603406447079"
88737742,"1028897","982911","0.95530553592828047900"
141388463,"951735","856917","0.90037352834560040347"
535149167,"888689","828593","0.93237679323137790611"
351232592,"760085","726081","0.95526289822848760336"
608327372,"775199","717756","0.92589902721752737039"
36315524,"637354","574402","0.90122914424323060654"
260960546,"553197","516744","0.93410484872477616473"
103533322,"440941","408347","0.92608081353287628050"
745438564,"414211","373639","0.90204992141686242036"
774048212,"328641","306855","0.93370881904570640912"
747066913,"269157","243543","0.90483621083605479330"
875833441,"200948","186446","0.92783207595994983777"
220713169,"198146","185144","0.93438171853078033369"
488864249,"168907","152617","0.90355639493922691185"
866193189,"113366","105258","0.92847943827955471658"
811048032,"110622","103476","0.93540163801052231925"
485712369,"96618","87281","0.90336169243826202157"
881839536,"59657","55357","0.92792128333640645691"
887560461,"54109","50284","0.92930935703857029330"
563161475,"50031","45171","0.90286022665947112790"
234736546,"21896","20061","0.91619473876507124589"
981573962,"16959","15416","0.90901586178430331977"
224370707,"11171","10206","0.91361561185211708889"
284618131,"8377","7587","0.90569416258803867733"
333394091,"5636","5153","0.91430092264017033357"
235578642,"1794","1647","0.91806020066889632107"
306634907,"779","675","0.86649550706033376123"
277018087,"671","595","0.88673621460506706408"
