"product_family","priority","avg_lead_time_days","num_work_orders"
"Analog",3,"220.07516482636188828596","13156"
"Analog",1,"219.88386711207574462469","13447"
"Analog",2,"219.72367704800757957432","13261"
"Analog",0,"219.46231757948485105508","13281"
"Logic",0,"159.84062517250406555017","13039"
"Logic",3,"158.33587523783959505549","13275"
"Logic",1,"157.84878318331501004973","13100"
"Logic",2,"157.79665168209647419792","13333"
"Memory",1,"125.54081368035884033752","6541"
"Memory",2,"125.40615517850647480887","6602"
"Memory",0,"125.37030243174988560104","6583"
"Memory",3,"124.24339929370180240603","6558"
