"work_order_id","product_family","priority","lead_time_days"
"WO-25229398794","Analog",3,"351.9949776730489120"
"WO-25123674029","Analog",0,"351.9948786745815972"
"WO-25415308322","Analog",3,"351.9906454797683565"
"WO-25839696610","Analog",1,"351.9890962323826389"
"WO-25147473843","Analog",0,"351.9868830649809028"
"WO-25319707110","Analog",2,"351.9865171314335648"
"WO-2547105469","Analog",2,"351.9841832158429398"
"WO-25333778641","Analog",3,"351.9826860680574074"
"WO-25344376542","Analog",0,"351.9780751946105324"
"WO-25970158059","Analog",0,"351.9756894900863079"
"WO-25748924215","Analog",0,"351.9736815514449306"
"WO-25413824865","Analog",0,"351.9658297562637731"
"WO-25148814198","Analog",0,"351.9583739126636806"
"WO-25710118085","Analog",2,"351.9582159636853819"
"WO-25679949338","Analog",1,"351.9580686699972685"
"WO-25119458495","Analog",1,"351.9572729447460880"
"WO-25576111633","Analog",3,"351.9571672102425463"
"WO-25766012059","Analog",1,"351.9561785742076852"
"WO-25497577931","Analog",3,"351.9539762063467824"
"WO-25573910964","Analog",0,"351.9527765887961343"
