"completion_date","total_work_orders_completed","total_units_produced","total_units_planned","effective_yield_rate"
"2025-01-01","172","121731","192059","0.63382085713244367616"
"2025-01-02","215","134852","219136","0.61538040303738317757"
"2025-01-03","213","149317","235608","0.63375182506536280602"
"2025-01-04","221","154035","238630","0.64549721325902024054"
"2025-01-05","208","147404","231366","0.63710311800350959086"
"2025-01-06","211","130828","207480","0.63055716213610950453"
"2025-01-07","214","148611","236678","0.62790373418737694251"
"2025-01-08","210","129838","209505","0.61973699911696618219"
"2025-01-09","221","140679","223743","0.62875263136723830466"
"2025-01-10","216","136626","216320","0.63159208579881656805"
"2025-01-11","225","158771","247442","0.64164935621276905295"
"2025-01-12","212","139802","219471","0.63699532056627071458"
"2025-01-13","221","144377","231988","0.62234684552649274962"
"2025-01-14","215","143152","230385","0.62135989756277535430"
"2025-01-15","223","142710","233192","0.61198497375553192219"
"2025-01-16","214","141898","223319","0.63540495882571568026"
"2025-01-17","204","130809","210583","0.62117549849702967476"
"2025-01-18","210","133733","215665","0.62009598219460737718"
"2025-01-19","215","138373","217528","0.63611581037843404068"
"2025-01-20","200","130065","202711","0.64162773603800484434"
"2025-01-21","231","150395","236497","0.63592772847012858514"
"2025-01-22","215","138089","219971","0.62776002291211114192"
"2025-01-23","213","134415","217507","0.61798011098493381822"
"2025-01-24","212","148100","235261","0.62951360403976859743"
"2025-01-25","218","141599","225817","0.62705199342830699194"
"2025-01-26","222","148615","235670","0.63060635634573768405"
"2025-01-27","221","146581","227698","0.64375181161011515253"
"2025-01-28","230","155817","243053","0.64108239766635260622"
"2025-01-29","203","135711","218511","0.62107170806046377528"
"2025-01-30","225","142539","223063","0.63900781393597324523"
"2025-01-31","215","143418","227362","0.63079142512820963925"
"2025-02-01","222","145809","230678","0.63208888580618871327"
"2025-02-02","210","135136","215615","0.62674674767525450456"
"2025-02-03","223","141660","227108","0.62375609842013491379"
"2025-02-04","212","138428","215281","0.64301076267761669632"
"2025-02-05","225","148071","231954","0.63836364106676323754"
"2025-02-06","220","151657","236387","0.64156235325969702226"
"2025-02-07","214","133947","213528","0.62730414746543778802"
"2025-02-08","210","134403","211324","0.63600442921769415684"
"2025-02-09","217","140610","221650","0.63437852470110534627"
"2025-02-10","214","138904","219625","0.63245987478656801366"
"2025-02-11","222","140308","223476","0.62784370581180976928"
"2025-02-12","211","131620","208871","0.63014970962938847423"
"2025-02-13","215","136358","219588","0.62097200211304807184"
"2025-02-14","218","148378","231000","0.64232900432900432900"
"2025-02-15","207","144524","225770","0.64013819373698897108"
"2025-02-16","212","129941","206840","0.62821988010056081996"
"2025-02-17","223","147426","236652","0.62296536686780589220"
"2025-02-18","220","152733","239179","0.63857194820615522266"
"2025-02-19","201","131719","208778","0.63090459722767724569"
"2025-02-20","222","155839","242256","0.64328231292517006803"
"2025-02-21","221","160835","250821","0.64123418693012148106"
"2025-02-22","218","147142","234374","0.62780854531646001690"
"2025-02-23","220","143149","224994","0.63623474403761878095"
"2025-02-24","207","142509","224003","0.63619237242358361272"
"2025-02-25","222","150111","235472","0.63748980770537473670"
"2025-02-26","216","145466","234022","0.62159113245763218843"
"2025-02-27","203","132103","208901","0.63237131464186384938"
"2025-02-28","223","145433","229820","0.63281263597598120268"
"2025-03-01","211","150969","240747","0.62708569577190993034"
"2025-03-02","221","150781","238693","0.63169426836983070304"
"2025-03-03","215","146065","229949","0.63520606743234369360"
"2025-03-04","227","153757","239967","0.64074226872861685148"
"2025-03-05","217","141594","218400","0.64832417582417582418"
"2025-03-06","216","147036","231358","0.63553453954477476465"
"2025-03-07","210","147035","230579","0.63767732534185680396"
"2025-03-08","216","134156","217841","0.61584366579294072282"
"2025-03-09","227","146732","236570","0.62024770680982373082"
"2025-03-10","216","143737","226280","0.63521742973307406753"
"2025-03-11","216","145805","226478","0.64379321611812184848"
"2025-03-12","198","136188","211936","0.64259021591423826061"
"2025-03-13","227","140209","223326","0.62782210759159255976"
"2025-03-14","214","147329","232949","0.63245173836333274665"
"2025-03-15","224","146463","231426","0.63287184672422286174"
"2025-03-16","212","137534","218297","0.63003156250429460780"
"2025-03-17","209","134881","213779","0.63093662146422239790"
"2025-03-18","210","140054","221530","0.63221234144359680404"
"2025-03-19","217","145023","229339","0.63235210757873715330"
"2025-03-20","208","139387","218322","0.63844688121215452405"
"2025-03-21","214","135083","215628","0.62646316804867642421"
"2025-03-22","208","145988","228620","0.63856180561630653486"
"2025-03-23","215","141301","223399","0.63250506940496600253"
"2025-03-24","219","150427","240560","0.62532008646491519787"
"2025-03-25","206","137674","218030","0.63144521396138146127"
"2025-03-26","217","153144","241574","0.63394239446298028761"
"2025-03-27","218","154254","241345","0.63914313534566699124"
"2025-03-28","221","145611","227112","0.64114181549191588291"
"2025-03-29","213","144194","221771","0.65019321732778406555"
"2025-03-30","216","148301","229299","0.64675816292264684975"
"2025-03-31","210","128556","206751","0.62179143027119578624"
"2025-04-01","214","144580","228764","0.63200503575737441206"
"2025-04-02","203","131786","211208","0.62396310745805083141"
"2025-04-03","226","150138","235133","0.63852372912351732849"
"2025-04-04","215","133613","213721","0.62517487752724346227"
"2025-04-05","216","149643","233684","0.64036476609438386881"
"2025-04-06","220","141186","218127","0.64726512536274739028"
"2025-04-07","214","139693","224301","0.62279258674727263811"
"2025-04-08","224","144790","233702","0.61954968292954275102"
"2025-04-09","216","145056","231742","0.62593746493945853579"
"2025-04-10","218","131251","210391","0.62384322523301852266"
"2025-04-11","222","139665","219779","0.63547927690998685043"
"2025-04-12","204","144644","231080","0.62594772373204085165"
"2025-04-13","228","149022","237912","0.62637445778270957329"
"2025-04-14","211","144257","231664","0.62269925409213343463"
"2025-04-15","213","136157","214973","0.63336791131909588646"
"2025-04-16","212","147365","230639","0.63894224307250725159"
"2025-04-17","219","137301","219814","0.62462354536107800231"
"2025-04-18","213","139897","221637","0.63119876193956785194"
"2025-04-19","211","139990","219442","0.63793622004903345759"
"2025-04-20","210","132311","217419","0.60855307033883883193"
"2025-04-21","214","147512","231492","0.63722288459212413388"
"2025-04-22","206","138482","216949","0.63831591756587953851"
"2025-04-23","223","155482","238231","0.65265225768266934194"
"2025-04-24","209","136324","215990","0.63115884994675679430"
"2025-04-25","216","141017","219797","0.64157836549179470147"
"2025-04-26","211","138487","211964","0.65335151252099413108"
"2025-04-27","214","141547","223639","0.63292627851135088245"
"2025-04-28","209","140797","225456","0.62449879355617060535"
"2025-04-29","223","146643","233492","0.62804293080705120518"
"2025-04-30","213","143863","225732","0.63731770418017826449"
"2025-05-01","208","131372","212628","0.61784901330022386515"
"2025-05-02","214","144389","230640","0.62603624696496704821"
"2025-05-03","219","151886","237569","0.63933425657387958867"
"2025-05-04","214","136436","214936","0.63477500279152864108"
"2025-05-05","209","142729","225414","0.63318604878135342082"
"2025-05-06","219","146266","229934","0.63612166969652161055"
"2025-05-07","211","134862","212319","0.63518573467282720812"
"2025-05-08","221","148431","235371","0.63062569305479434595"
"2025-05-09","212","143510","226828","0.63268203220061015395"
"2025-05-10","210","133527","211646","0.63089781994462451452"
"2025-05-11","213","136617","216294","0.63162639740353407862"
"2025-05-12","217","132004","213096","0.61945789691031272290"
"2025-05-13","225","146983","227579","0.64585484600951757412"
"2025-05-14","200","127775","203031","0.62933739182686387793"
"2025-05-15","219","155331","243189","0.63872543577217719551"
"2025-05-16","228","148725","238517","0.62354046042839713731"
"2025-05-17","212","142882","226337","0.63127990562744933440"
"2025-05-18","209","134479","214375","0.62730728862973760933"
"2025-05-19","212","142305","223198","0.63757291732004767068"
"2025-05-20","219","145837","228875","0.63719060622610595303"
"2025-05-21","218","145330","229378","0.63358299400988760910"
"2025-05-22","215","145220","230169","0.63092770963943884711"
"2025-05-23","209","147252","228914","0.64326340896581248853"
"2025-05-24","224","146935","229703","0.63967383969734831500"
"2025-05-25","223","142366","226616","0.62822572104352737671"
"2025-05-26","221","150933","241836","0.62411303528010718007"
"2025-05-27","212","149303","235443","0.63413650012954303165"
"2025-05-28","216","151074","238774","0.63270707866015562833"
"2025-05-29","218","142381","220839","0.64472760698970743392"
"2025-05-30","205","131346","205183","0.64014075240151474537"
