"product_family","priority","avg_lead_time_days","num_work_orders"
"Analog",3,"0.43600636389903557170","7797"
"Analog",0,"0.43595277077945144186","7826"
"Analog",2,"0.43594642468760168848","7875"
"Analog",1,"0.43525143836422182000","8052"
"Logic",1,"0.31708589546389544882","7903"
"Logic",3,"0.31648114443488880958","7900"
"Logic",2,"0.31619204210990941834","8005"
"Logic",0,"0.31601114316834037515","7729"
"Memory",0,"0.30384886354276865717","3970"
"Memory",1,"0.30375146532846503740","3846"
"Memory",3,"0.30350485233276464368","3928"
"Memory",2,"0.30349475931552337565","3912"
