"work_order_id","product_family","priority","lead_time_days"
"WO-25769439802","Analog",2,"0.65926246395914351852"
"WO-2576567961","Analog",3,"0.60114755552818287037"
"WO-25622466220","Analog",2,"0.58632728262496527778"
"WO-25427242134","Analog",3,"0.58618794252946759259"
"WO-25980394385","Analog",1,"0.57455860762821759259"
"WO-25158693776","Analog",1,"0.56943076576751157407"
"WO-25136931674","Analog",0,"0.56656381189915509259"
"WO-25760609711","Analog",0,"0.56219526208925925926"
"WO-25925709838","Logic",0,"0.56008860790746527778"
"WO-25668588907","Analog",0,"0.55901346022815625000"
"WO-254696451","Analog",3,"0.55674588893541666667"
"WO-25787619289","Analog",3,"0.55606852979274305556"
"WO-2569640791","Analog",0,"0.55599741240531250000"
"WO-25137710241","Analog",3,"0.55510509001206018519"
"WO-25478124894","Analog",0,"0.55327319608835648148"
"WO-25554675267","Analog",2,"0.54920021344722453704"
"WO-25795417016","Analog",2,"0.54863082856379629630"
"WO-25688951355","Analog",3,"0.54699174501645833333"
"WO-25542829173","Analog",1,"0.54696931838421296296"
"WO-25955273628","Analog",0,"0.54690850175576388889"
